# x	y	u	v	flags	mask
5.6983e+00	6.1024e+00	-1.8038e+00	-2.5440e+00	0.0000e+00	0.0000e+00
5.9159e+00	6.1024e+00	-1.5683e+00	-1.5528e+00	1.0000e+00	0.0000e+00
2.5901e-01	5.8848e+00	-4.3484e-02	-2.0363e-03	0.0000e+00	0.0000e+00
4.7659e-01	5.8848e+00	-4.6001e-02	3.8022e-03	0.0000e+00	0.0000e+00
6.9416e-01	5.8848e+00	-8.8755e-02	9.3450e-03	0.0000e+00	0.0000e+00
9.1173e-01	5.8848e+00	-1.3543e-01	1.3139e-02	0.0000e+00	0.0000e+00
1.1293e+00	5.8848e+00	-1.3576e-01	7.7406e-02	0.0000e+00	0.0000e+00
1.3469e+00	5.8848e+00	-1.1310e-01	5.1600e-02	0.0000e+00	0.0000e+00
1.5644e+00	5.8848e+00	-1.4596e-01	2.6743e-02	0.0000e+00	0.0000e+00
1.7820e+00	5.8848e+00	-1.5918e-01	3.2169e-02	0.0000e+00	0.0000e+00
1.9996e+00	5.8848e+00	-2.4213e-01	2.0223e-02	0.0000e+00	0.0000e+00
2.2172e+00	5.8848e+00	-2.4056e-01	-1.0342e-01	0.0000e+00	0.0000e+00
2.4347e+00	5.8848e+00	-1.5059e+00	-1.4152e-01	1.0000e+00	0.0000e+00
2.6523e+00	5.8848e+00	-1.1513e-01	-2.2277e-02	0.0000e+00	0.0000e+00
2.8699e+00	5.8848e+00	-1.2950e-01	2.1375e-02	0.0000e+00	0.0000e+00
3.0874e+00	5.8848e+00	-1.0511e-01	3.9779e-02	0.0000e+00	0.0000e+00
3.3050e+00	5.8848e+00	-1.6519e-01	9.1523e-02	0.0000e+00	0.0000e+00
3.5226e+00	5.8848e+00	-2.0317e-01	1.0900e-01	0.0000e+00	0.0000e+00
3.7402e+00	5.8848e+00	-2.4616e-01	1.3015e-01	0.0000e+00	0.0000e+00
3.9577e+00	5.8848e+00	-2.5182e-01	1.2743e-01	0.0000e+00	0.0000e+00
4.1753e+00	5.8848e+00	-2.7864e-01	1.8784e-01	0.0000e+00	0.0000e+00
4.3929e+00	5.8848e+00	-8.7872e-01	-3.4083e-01	0.0000e+00	0.0000e+00
4.6104e+00	5.8848e+00	-1.4843e+00	-4.1027e-01	0.0000e+00	0.0000e+00
4.8280e+00	5.8848e+00	-6.9177e-01	-4.1120e-01	0.0000e+00	0.0000e+00
5.0456e+00	5.8848e+00	-2.5129e+00	-2.5910e+00	0.0000e+00	0.0000e+00
5.2632e+00	5.8848e+00	-2.5357e+00	-2.6674e+00	0.0000e+00	0.0000e+00
5.4807e+00	5.8848e+00	-2.5049e+00	-2.5871e+00	0.0000e+00	0.0000e+00
5.6983e+00	5.8848e+00	-2.4349e+00	-2.5456e+00	0.0000e+00	0.0000e+00
5.9159e+00	5.8848e+00	-1.0361e-01	-4.6894e-03	0.0000e+00	0.0000e+00
2.5901e-01	5.6672e+00	-4.7170e-02	2.7983e-02	0.0000e+00	0.0000e+00
4.7659e-01	5.6672e+00	-8.9453e-02	2.4880e-02	0.0000e+00	0.0000e+00
6.9416e-01	5.6672e+00	-8.6791e-02	4.6587e-02	0.0000e+00	0.0000e+00
9.1173e-01	5.6672e+00	-1.2615e-01	6.8325e-02	0.0000e+00	0.0000e+00
1.1293e+00	5.6672e+00	-1.5894e-01	1.1530e-01	0.0000e+00	0.0000e+00
1.3469e+00	5.6672e+00	-1.9285e-01	-2.9957e-02	0.0000e+00	0.0000e+00
1.5644e+00	5.6672e+00	-1.6608e-01	-2.3770e-03	0.0000e+00	0.0000e+00
1.7820e+00	5.6672e+00	-1.6255e-01	3.5900e-02	0.0000e+00	0.0000e+00
1.9996e+00	5.6672e+00	-2.7159e+00	-1.1304e+00	0.0000e+00	0.0000e+00
2.2172e+00	5.6672e+00	-3.5378e+00	-8.8274e-01	0.0000e+00	0.0000e+00
2.4347e+00	5.6672e+00	-5.1825e-01	8.8089e-02	0.0000e+00	0.0000e+00
2.6523e+00	5.6672e+00	-3.7992e+00	-4.9812e-01	0.0000e+00	0.0000e+00
2.8699e+00	5.6672e+00	1.5609e+00	-1.2711e+00	0.0000e+00	0.0000e+00
3.0874e+00	5.6672e+00	-1.9610e+00	-4.4576e-01	0.0000e+00	0.0000e+00
3.3050e+00	5.6672e+00	-9.0488e-01	3.8124e-01	0.0000e+00	0.0000e+00
3.5226e+00	5.6672e+00	-1.7749e+00	-1.5152e-02	1.0000e+00	0.0000e+00
3.7402e+00	5.6672e+00	-9.8176e-01	4.0378e-01	0.0000e+00	0.0000e+00
