# x	y	u	v	flags	mask
1.3469e+00	1.0485e+01	1.6194e-01	-2.5136e-01	1.0000e+00	0.0000e+00
1.5644e+00	1.0485e+01	-1.4315e+00	-1.7077e+00	0.0000e+00	0.0000e+00
1.7820e+00	1.0485e+01	3.5764e-02	-2.6589e-01	1.0000e+00	0.0000e+00
1.9996e+00	1.0485e+01	-1.5756e-01	-2.8086e-01	1.0000e+00	0.0000e+00
2.2172e+00	1.0485e+01	-3.0698e-01	-4.6885e-01	1.0000e+00	0.0000e+00
2.4347e+00	1.0485e+01	-4.7526e-01	-6.0879e-01	1.0000e+00	0.0000e+00
2.6523e+00	1.0485e+01	-1.6814e+00	-1.6783e+00	0.0000e+00	0.0000e+00
2.8699e+00	1.0485e+01	-9.1573e-01	-1.0628e+00	1.0000e+00	0.0000e+00
3.0874e+00	1.0485e+01	-1.5368e+00	-1.5746e+00	0.0000e+00	0.0000e+00
3.3050e+00	1.0485e+01	-1.5556e+00	-1.6139e+00	0.0000e+00	0.0000e+00
3.5226e+00	1.0485e+01	-1.3193e+00	-1.2129e+00	1.0000e+00	0.0000e+00
3.7402e+00	1.0485e+01	-1.3777e+00	-1.2668e+00	1.0000e+00	0.0000e+00
3.9577e+00	1.0485e+01	-1.3986e+00	-1.2621e+00	1.0000e+00	0.0000e+00
4.1753e+00	1.0485e+01	-1.4135e+00	-1.2686e+00	1.0000e+00	0.0000e+00
4.3929e+00	1.0485e+01	-1.4988e+00	-1.3679e+00	1.0000e+00	0.0000e+00
4.6104e+00	1.0485e+01	-1.5410e+00	-1.5883e+00	0.0000e+00	0.0000e+00
4.8280e+00	1.0485e+01	-1.5759e+00	-1.5711e+00	0.0000e+00	0.0000e+00
5.0456e+00	1.0485e+01	-1.5084e+00	-1.5861e+00	0.0000e+00	0.0000e+00
5.2632e+00	1.0485e+01	-1.5019e+00	-1.5287e+00	0.0000e+00	0.0000e+00
5.4807e+00	1.0485e+01	-1.4887e+00	-1.5186e+00	0.0000e+00	0.0000e+00
5.6983e+00	1.0485e+01	-1.5143e+00	-1.4986e+00	0.0000e+00	0.0000e+00
5.9159e+00	1.0485e+01	-1.8350e+00	-1.6164e+00	1.0000e+00	0.0000e+00
6.1334e+00	1.0485e+01	-5.0159e+00	-1.3983e+00	0.0000e+00	0.0000e+00
6.3510e+00	1.0485e+01	-1.7639e+00	-1.3029e+00	1.0000e+00	0.0000e+00
